,,,,,,,,,,,,,,,,,,1 for present,,total analysed,total missing,total added,total missing and added,net total missing,total disfluent
,,,,,,,,,,,,,,,,,,2 for missing,,100,39,2,0,39,0
,,,,,,,,,,,,,,,,,,3 for added,,,,,,,
,,,,,,,,,,,,,,,,,,4 for disfluency,,,,,,,
,,,,,,,,,,,,,,,,,,,,num missing,at least one missing,at least one added,both missing and added,disfluency,
name='The Mill',1,eat_type=pub,1,food=English,1,price_range='less than £20',1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Mill is an English pub near Raja Indian Cuisine in the city centre. It is not family-friendly and has a price range of less than £20.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range=moderate,1,rating='3 out of 5',1,area=riverside,1,family_friendly=yes,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a moderately priced Chinese restaurant with a customer rating of 3 out of 5. It is located in riverside near All Bar One and is kid friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,2,food=Indian,1,price_range=cheap,1,rating='5 out of 5',1,area='city centre',1,family_friendly=yes,2,near='Crowne Plaza Hotel',1,added,,disfluency,,2,1,0,0,0,
The Phoenix provides Indian food in the cheap price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,2,price_range=high,1,rating='3 out of 5',2,area=riverside,2,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,3,1,0,0,0,
The Phoenix is a family friendly pub located near Crowne Plaza Hotel. It is in the high price range.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=£20-25,2,rating=high,2,area=riverside,2,family_friendly=yes,1,near='Café Sicilia',1,added,,disfluency,,3,1,0,0,0,
The Mill is a family friendly pub that serves fast food. It is located near Café Sicilia.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food='Fast food',1,price_range='more than £30',2,rating=high,1,area='city centre',1,family_friendly=no,1,near='Café Sicilia',1,added,,disfluency,,1,1,0,0,0,
The Phoenix is a fast food pub located near Café Sicilia in the city centre. It has a high customer rating and is not children friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Indian,1,price_range=moderate,1,area=riverside,1,family_friendly=no,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,1,1,0,0,0,
The Waterman is a pub that provides Indian food in the moderate price range. It is located in the riverside. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Vaults',1,eat_type=pub,1,food=Indian,1,price_range=cheap,1,area=riverside,1,family_friendly=yes,2,near='Raja Indian Cuisine',1,added,,disfluency,,,,1,1,0,0,0,
The Vaults is a pub that provides Indian food in the cheap price range. It is located in the riverside. It is near Raja Indian Cuisine.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Wildwood,1,eat_type=pub,1,food=Italian,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Wildwood is a family-friendly Italian pub near Raja Indian Cuisine in the city centre.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
