,,,,,,,,,,,,,,,,,,1 for present,,total analysed,total missing,total added,total missing and added,net total missing,total disfluent
,,,,,,,,,,,,,,,,,,2 for missing,,100,0,0,0,0,0
,,,,,,,,,,,,,,,,,,3 for added,,,,,,,
,,,,,,,,,,,,,,,,,,4 for disfluency,,,,,,,
,,,,,,,,,,,,,,,,,,,,num missing,at least one missing,at least one added,both missing and added,disfluency,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range='more than £30',1,rating='5 out of 5',1,area='city centre',1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a family friendly French pub in the city centre near Crowne Plaza Hotel. It costs more than £30 and has a customer rating of 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=£20-25,1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Mill is a family friendly fast food pub in the riverside area near Raja Indian Cuisine with a price range of £20-25.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=Chinese,1,price_range=moderate,1,rating='3 out of 5',1,area=riverside,1,family_friendly=no,1,near='All Bar One',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a moderately priced Chinese restaurant in the riverside area near All Bar One. It has a customer rating of 3 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Clowns,1,eat_type='coffee shop',1,rating='5 out of 5',1,near='Crowne Plaza Hotel',1,added,,disfluency,,,,,,,,,,0,0,0,0,0,
Clowns is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=pub,1,food=English,1,area=riverside,1,family_friendly=yes,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a family friendly English pub near Rainbow Vegetarian Café in the riverside area.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food=Indian,1,price_range=£20-25,1,rating=high,1,area=riverside,1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a family friendly Indian restaurant in the riverside area near Crowne Plaza Hotel with a price range of £20-25 and a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range='more than £30',1,area=riverside,1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a family friendly fast food restaurant in the riverside area near Raja Indian Cuisine. It costs more than £30.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Cricketers',1,eat_type=restaurant,1,food=English,1,price_range=cheap,1,rating='5 out of 5',1,area=riverside,1,family_friendly=no,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Cricketers is a cheap English restaurant near Café Rouge in the riverside area. It has a customer rating of 5 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Waterman',1,eat_type=pub,1,food=Italian,1,price_range='less than £20',1,area='city centre',1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Waterman is an Italian pub near Raja Indian Cuisine in the city centre. It costs less than £20 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range='less than £20',1,rating=low,1,area='city centre',1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
"The Punter is an Indian restaurant near Express by Holiday Inn in the city centre. It is not family-friendly, has a low customer rating, and costs less than £20.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Chinese,1,price_range=moderate,1,area='city centre',1,family_friendly=yes,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Punter is a moderately priced Chinese restaurant in the city centre near Raja Indian Cuisine. It is family friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Punter',1,eat_type=restaurant,1,food=Indian,1,price_range=moderate,1,rating='1 out of 5',1,area='city centre',1,family_friendly=no,1,near='Express by Holiday Inn',1,added,,disfluency,,0,0,0,0,0,
The Punter is a moderately priced Indian restaurant in the city centre near Express by Holiday Inn. It has a customer rating of 1 out of 5 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food='Fast food',1,price_range=£20-25,1,rating=high,1,area=riverside,1,family_friendly=yes,1,near='Café Rouge',1,added,,disfluency,,0,0,0,0,0,
The Mill is a family friendly fast food pub in the riverside area near Café Rouge with a price range of £20-25 and a high customer rating.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=pub,1,food=French,1,price_range=£20-25,1,rating='3 out of 5',1,area=riverside,1,family_friendly=yes,1,near='Crowne Plaza Hotel',1,added,,disfluency,,0,0,0,0,0,
The Phoenix is a family friendly French pub in the riverside area near Crowne Plaza Hotel with a price range of £20-25 and a customer rating of 3 out of 5.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Mill',1,eat_type=pub,1,food=English,1,price_range='less than £20',,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Mill is an English pub near Raja Indian Cuisine in the riverside area. It costs less than £20 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Cocum,1,eat_type=pub,1,near='The Sorrento',1,added,,disfluency,,,,,,,,,,,,0,0,0,0,0,
Cocum is a pub near The Sorrento.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Giraffe,1,eat_type=restaurant,1,food='Fast food',1,area=riverside,1,family_friendly=no,1,near='Rainbow Vegetarian Café',1,added,,disfluency,,,,,,0,0,0,0,0,
Giraffe is a fast food restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name='The Phoenix',1,eat_type=restaurant,1,food='Fast food',1,price_range='less than £20',1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,0,0,0,0,0,
The Phoenix is a fast food restaurant near Raja Indian Cuisine in the riverside area. It costs less than £20 and is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
name=Wildwood,1,eat_type=restaurant,1,food=Indian,1,area=riverside,1,family_friendly=no,1,near='Raja Indian Cuisine',1,added,,disfluency,,,,,,0,0,0,0,0,
Wildwood is an Indian restaurant in the riverside area near Raja Indian Cuisine. It is not family-friendly.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
